Date,Close,High,Low,Open,Volume
2015-03-13,45.29,45.3,43.88,44.99,3906142
2015-03-16,46.07,46.2,44.1,44.93,2392935
2015-03-17,46.67,47.105,45.98,46.07,2602980
2015-03-18,49.02,49.53,45.71,46.23,3583996
2015-03-19,47.65,48.705,47.05,47.74,2226113
2015-03-20,49.35,49.52,48.03,48.19,4244338
2015-03-23,48.36,49.73,48.33,49.16,2289612
2015-03-24,49.63,49.89,48.16,48.38,2668563
2015-03-25,50.9,51.31,49.09,49.9,3050612
2015-03-26,51.12,52.45,50.76,51.97,3215677
2015-03-27,51.61,52.16,50.21,50.83,2549132
2015-03-30,51.71,52.46,51.005,52.39,2383725
2015-03-31,52.04,52.74,51.12,51.27,2719504
2015-04-01,51.63,52.73,51.32,52.05,3375420
2015-04-02,53.77,53.95,51.4,51.43,3201083
2015-04-03,53.77,53.77,53.77,53.77,0
2015-04-06,54.67,54.91,53.4,53.97,2918804
2015-04-07,56.27,57.28,54.51,54.74,3806722
2015-04-08,55.24,56.85,55.16,56.36,2300355
2015-04-09,55.87,56.05,55.0,55.44,2211115
2015-04-10,55.25,56.386,54.52,56.07,1826378
2015-04-13,55.09,56.23,54.19,56.23,1672514
2015-04-14,57.73,58.0586,55.32,55.63,3171515
2015-04-15,61.4,61.57,57.45,58.06,5039243
2015-04-16,60.96,62.52,59.75,61.0,4248530
2015-04-17,60.73,61.37,59.92,60.23,2848274
2015-04-20,60.41,61.96,60.25,60.62,2149003
2015-04-21,59.79,61.62,59.4,60.77,1783936
2015-04-22,60.72,61.67,59.83,60.05,2029048
2015-04-23,61.94,62.15,60.56,60.61,2253321
2015-04-24,61.36,62.28,60.77,61.86,2464860
2015-04-27,61.28,61.89,60.56,61.34,2640083
2015-04-28,62.3,62.66,61.35,61.45,3570650
2015-04-29,62.06,62.62,58.72,60.95,4985637
2015-04-30,63.56,64.62,60.29,62.26,3753520
2015-05-01,64.75,65.29,62.86,63.39,3846051
2015-05-04,64.1,65.53,63.75,64.88,2640062
2015-05-05,62.77,65.21,62.691,64.9,2885120
2015-05-06,62.06,63.95,61.75,63.6,3086065
2015-05-07,60.8,62.02,60.31,61.96,3232414
2015-05-08,64.29,64.7,60.37,61.53,4243656
2015-05-11,62.92,64.64,62.4056,64.04,2440803
2015-05-12,63.81,64.98,63.03,63.08,2603502
2015-05-13,62.7,64.47,62.54,63.85,2050492
2015-05-14,61.04,63.2,60.92,62.93,2883201
2015-05-15,61.16,61.74,59.95,60.87,2545488
2015-05-18,59.78,61.16,58.9,60.7,2433526
2015-05-19,58.35,59.88,58.04,59.35,2592502
2015-05-20,58.26,58.59,56.91,58.54,2907441
2015-05-21,58.73,59.09,58.09,58.76,1930508
2015-05-22,58.64,59.47,58.0,58.23,1133958
2015-05-25,58.64,58.64,58.64,58.64,0
2015-05-26,57.03,58.45,56.73,57.75,1913347
2015-05-27,57.28,57.98,56.5335,56.82,1848987
2015-05-28,55.48,56.7199,55.17,56.61,2989273
2015-05-29,55.41,56.02,55.01,55.52,3414051
2015-06-01,54.97,55.92,54.52,55.3,2301965
2015-06-02,55.58,56.36,54.5,55.25,2477429
2015-06-03,55.58,55.83,55.07,55.61,2206963
2015-06-04,55.51,55.8028,54.52,54.79,3709750
2015-06-05,54.7,56.35,54.68,54.99,2692750
2015-06-08,54.15,55.63,53.14,54.72,2595525
2015-06-09,54.37,56.18,54.3,54.95,2129929
2015-06-10,52.93,55.17,52.47,55.07,7872355
2015-06-11,52.7,53.26,51.61,53.08,4367520
2015-06-12,52.84,53.56,52.11,52.42,2911619
2015-06-15,52.51,53.195,51.94,52.34,2213466
2015-06-16,53.9,53.95,52.33,52.86,2881595
2015-06-17,52.74,54.5,52.32,54.33,3151830
2015-06-18,51.2,53.32,51.18,53.11,4016883
2015-06-19,50.31,51.39,49.79,50.8,4397929
2015-06-22,50.59,51.11,49.6,50.4,2537212
2015-06-23,50.31,50.91,49.67,50.71,2784931
2015-06-24,50.89,50.965,50.11,50.3,3149564
2015-06-25,51.04,51.49,50.57,50.94,2891169
2015-06-26,49.62,51.45,49.58,50.88,5096082
2015-06-29,48.61,50.25,48.46,49.03,2723322
2015-06-30,49.38,49.595,48.82,49.1,2583095
2015-07-01,47.82,49.4,47.49,49.21,3242367
2015-07-02,47.97,48.88,47.75,48.22,2366827
2015-07-03,47.97,47.97,47.97,47.97,0
